Date : 2026-07-19 11:41:47
Directory : /Users/tau/Git/Hacks/auth-scope
Total : 157 files,  30196 codes, 145 comments, 3487 blanks, all 33828 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Go                 |         63 |     16,234 |         68 |      1,567 |     17,869 |
| YAML               |          4 |      4,553 |          0 |        868 |      5,421 |
| TypeScript         |         11 |      3,242 |         73 |        104 |      3,419 |
| TypeScript JSX     |         33 |      1,794 |          0 |        160 |      1,954 |
| Markdown           |          8 |      1,488 |          0 |        465 |      1,953 |
| JavaScript         |          7 |      1,285 |          0 |        136 |      1,421 |
| PostCSS            |          2 |        858 |          0 |        100 |        958 |
| JSON               |          4 |        261 |          0 |          4 |        265 |
| MS SQL             |         18 |        251 |          3 |         43 |        297 |
| HTML               |          2 |        158 |          0 |         13 |        171 |
| Docker             |          2 |         31 |          1 |         16 |         48 |
| Properties         |          1 |         30 |          0 |          6 |         36 |
| JSON with Comments |          1 |          7 |          0 |          1 |          8 |
| XML                |          1 |          4 |          0 |          4 |          8 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                     |        157 |     30,196 |        145 |      3,487 |     33,828 |
| . (Files)                                                                                             |          4 |        548 |          1 |        120 |        669 |
| .github                                                                                               |          1 |         64 |          0 |          5 |         69 |
| .github/workflows                                                                                     |          1 |         64 |          0 |          5 |         69 |
| cmd                                                                                                   |          1 |         91 |          0 |         14 |        105 |
| cmd/auth-scope                                                                                        |          1 |         91 |          0 |         14 |        105 |
| demo                                                                                                  |          9 |      1,333 |          0 |        284 |      1,617 |
| demo (Files)                                                                                          |          5 |        708 |          0 |        224 |        932 |
| demo/lib                                                                                              |          1 |        200 |          0 |         27 |        227 |
| demo/mock-data                                                                                        |          1 |        171 |          0 |          1 |        172 |
| demo/playwright                                                                                       |          1 |        218 |          0 |         29 |        247 |
| demo/videos                                                                                           |          1 |         36 |          0 |          3 |         39 |
| frontend                                                                                              |         56 |      9,470 |         73 |      1,313 |     10,856 |
| frontend (Files)                                                                                      |         14 |      4,104 |          0 |      1,035 |      5,139 |
| frontend/e2e                                                                                          |          1 |         46 |          0 |          7 |         53 |
| frontend/src                                                                                          |         41 |      5,320 |         73 |        271 |      5,664 |
| frontend/src (Files)                                                                                  |          1 |         10 |          0 |          2 |         12 |
| frontend/src/app                                                                                      |          6 |      1,032 |          0 |         85 |      1,117 |
| frontend/src/features                                                                                 |         16 |        723 |          0 |         50 |        773 |
| frontend/src/features/agents                                                                          |          2 |         62 |          0 |          4 |         66 |
| frontend/src/features/approvals                                                                       |          3 |        125 |          0 |          6 |        131 |
| frontend/src/features/audit                                                                           |          1 |         15 |          0 |          2 |         17 |
| frontend/src/features/connection                                                                      |          1 |         52 |          0 |          4 |         56 |
| frontend/src/features/containment                                                                     |          2 |         52 |          0 |          4 |         56 |
| frontend/src/features/dashboard                                                                       |          1 |         72 |          0 |          7 |         79 |
| frontend/src/features/governance                                                                      |          1 |        118 |          0 |          8 |        126 |
| frontend/src/features/missions                                                                        |          3 |        189 |          0 |         11 |        200 |
| frontend/src/features/projections                                                                     |          1 |         26 |          0 |          2 |         28 |
